retention_1_p30,retention_7_p30,retention_1_p40,retention_1_diff_pp,retention_7_p40,retention_7_diff_pp
44.952665583542206,19.155662636702726,43.856505300478595,-1.096160283063613,18.539054635721953,-0.6166080009807701
44.665759369260094,18.847009830323106,44.26287893183444,-0.40288043742565116,18.40851479791492,-0.4384950324081871
44.373433721760904,19.121656303357717,44.21321862247896,-0.16021509928194066,18.386310857878748,-0.7353454454789715
44.55925486504711,19.236423558196712,44.51442363435697,-0.044831230690134394,18.112344299810427,-1.1240792583862818
44.66964437128011,18.941813671143315,44.41406018475376,-0.25558418652635306,18.180875122945803,-0.7609385481975123
44.55123550011499,18.98273842122687,44.23006095446697,-0.32117454564802306,18.15978162009277,-0.8229568011341004
44.57484932542236,18.913017600913832,44.395562860974934,-0.1792864644474257,18.10710103405814,-0.8059165668556911
45.00622772826408,19.199100216458614,44.18400408912677,-0.8222236391373094,17.860592754837146,-1.3385074616214687
44.262647980373536,18.844025794659178,44.64753822156625,0.38489024119271464,18.23148999040675,-0.6125358042524287
44.88126235244286,19.101050056292962,44.62765379984516,-0.25360855259770054,18.367547830399637,-0.733502225893326
45.23631053522084,18.78034957805,44.20896531500197,-1.027345220218867,17.94109056108837,-0.8392590169616299
44.63069644073582,18.78242183409554,44.47993123025512,-0.15076521048070224,18.229308609644306,-0.5531132244512349
44.707400123784225,18.846074311122898,44.61314335319966,-0.0942567705845665,18.30591137939311,-0.5401629317297901
44.88987639478362,18.559594138145734,44.42409440379438,-0.46578199098924467,17.961828448263862,-0.5977656898818712
44.571941760963504,19.259987236596178,44.199358617512615,-0.37258314345089416,18.2292193341666,-1.0307679024295746
44.81343017189731,19.112054036321634,44.36778303461581,-0.4456471372814963,17.8161536228361,-1.2959004134855345
44.469070490144716,18.787513674794155,44.56884927622314,0.09977878607842494,18.183794484524373,-0.603719190269783
44.98782198359741,19.190422792051322,44.59014731549878,-0.39767466809861873,17.81637914789561,-1.3740436441557147
44.72868574097993,18.890024455295748,44.217664711888446,-0.5110210290914796,18.2815809666735,-0.6084434886222512
44.85497959788618,18.857282593045497,43.9761811133307,-0.8787984845554764,17.72875511772223,-1.1285274753232655
44.406075872923715,18.914483841025863,44.0640714176249,-0.3420044552988166,17.942498920002574,-0.9719849210232917
44.470384310427455,19.272025870395463,44.25313657320945,-0.2172477372180015,18.18333178533215,-1.0886940850633104
44.93619307147295,18.90128177314403,43.9584445483164,-0.9777485231565464,18.120102829808364,-0.7811789433356697
44.50347611123026,18.880840956506614,44.25035534609999,-0.2531207651302714,18.311141498449814,-0.5696994580567993
45.0272171758239,18.83654307297907,44.547339595402676,-0.4798775804212285,18.389212469909623,-0.4473306030694485
44.60257870537597,19.168271785855595,44.0960572190914,-0.5065214862845668,17.992507648454293,-1.1757641374013028
44.84493441047627,18.673710998783534,44.337796977714305,-0.5071374327619671,18.425644441517466,-0.24806655726606897
45.09743916787163,18.986167282433314,44.24882156705553,-0.8486176008160984,18.185129591246813,-0.8010376911865014
44.657714921092335,18.889181243976818,44.36759874333902,-0.29011617775331344,18.222534174466645,-0.6666470695101734
45.093391184386924,19.02508089822239,44.145763973149016,-0.9476272112379058,18.14379120481256,-0.8812896934098341
45.02215414297447,18.898252345462158,44.282777614562164,-0.739376528412311,17.94687511782027,-0.9513772276418864
44.7506020423382,19.08976503719106,43.91910941673438,-0.8314926256038191,18.03162019480635,-1.0581448423847117
45.0005987571849,19.0537755977083,44.64840594203473,-0.3521928151501763,18.104816161373908,-0.9489594363343928
44.903386684063605,18.874538976697576,44.42719755772932,-0.47618912633428656,18.229630301202484,-0.64490867549509
44.845906155867695,19.204640483322688,44.044290192035376,-0.8016159638323195,18.382154427483933,-0.8224860558387559
44.64903521100256,19.02014320816618,44.55020065355151,-0.09883455745105518,18.432880149361033,-0.5872630588051458
44.73132850205983,19.09109066784927,44.030158871996065,-0.7011696300637693,18.167828086214033,-0.9232625816352369
45.12027449220708,19.140217628087512,44.30176973523142,-0.8185047569756632,18.059679089368625,-1.0805385387188837
44.95124087774713,18.864441835283635,44.66260334298989,-0.28863753475724674,18.084090478129365,-0.7803513571542714
44.97690394121619,19.067534323631268,44.15668793088043,-0.8202160103357614,18.530789984690358,-0.5367443389409088
44.55687145473263,19.155089560090257,44.310467858604,-0.2464035961286304,18.14867193154218,-1.0064176285480786
44.50533473016138,19.171123262526635,44.2966366388429,-0.2086980913184766,17.972965933935757,-1.1981573285908764
44.80598741621878,18.839428360520767,43.93228906654666,-0.8736983496721196,18.369339489884947,-0.47008887063582083
44.74355930715328,18.806099123411226,44.31467414981694,-0.4288851573363395,18.29238550737303,-0.5137136160381972
45.25874925147476,18.8530627154896,44.218677717632204,-1.040071533842557,18.00124503096134,-0.851817684528261
45.1544467629784,18.802677045529425,43.77858314704443,-1.3758636159339699,18.380522342750098,-0.42215470277932876
44.99322200355137,18.93375941927476,44.087229350788974,-0.905992652762394,18.356017475445512,-0.5777419438292491
44.995446228425784,18.945062124596813,44.358219350001036,-0.6372268784247459,18.05467691077613,-0.8903852138206797
44.72839135158168,19.096642103293917,44.04545740636333,-0.6829339452183392,17.94976058937595,-1.146881513917966
44.683020627035994,18.801953653202855,43.99182519804651,-0.6911954289894828,18.521597658970094,-0.2803559942327616
44.582250962505164,18.847027912508356,44.335051802755245,-0.24719915974992235,18.287660817192197,-0.5593670953161572
44.584180516212314,19.17220818475701,44.07647176000584,-0.5077087562064764,18.048725493291556,-1.123482691465455
44.651917231441764,19.01204554132797,44.39810237468185,-0.25381485675992077,18.07655127756383,-0.9354942637641417
45.31087421193106,18.864818314589193,44.277490658510935,-1.0333835534201252,18.090991900065326,-0.7738264145238677
44.88594332780455,18.806304536574288,44.04466438485903,-0.841278942945517,18.217986142530933,-0.5883183940433551
44.73500111611667,18.988552883577608,44.37059313263061,-0.36440798348606473,17.992688347643334,-0.9958645359342738
44.94438391822262,19.164591958576207,44.429328479279775,-0.5150554389428408,17.902508873753764,-1.2620830848224434
45.027044142433176,19.091267113928,43.873554311544574,-1.1534898308885988,18.20419689959151,-0.8870702143364939
45.39803275200989,18.6878282466842,44.37466223981596,-1.0233705121939218,18.473914054509073,-0.21391419217512697
44.9262046594961,19.423784312849545,44.11944379071664,-0.8067608687794603,18.085990797277834,-1.3377935155717113
44.676672123870794,19.271115558342284,44.071914127395885,-0.6047579964749084,18.523112317893858,-0.7480032404484249
45.070230667598835,19.185800878261805,44.12791335333454,-0.942317314264296,18.039550318741732,-1.1462505595200734
45.099668835731,19.020695950883866,44.30356410816043,-0.7961047275705735,18.455641068654092,-0.5650548822297735
44.42089191252625,18.906436060078942,43.82259760786508,-0.5982943046611733,17.91175289445701,-0.994683165621929
45.14346051725248,18.98419234564782,44.314701205838674,-0.8287593114138014,18.38337896095314,-0.6008133846946789
44.9931453843703,19.10313882512978,44.36811844057184,-0.6250269437984568,18.212335177297607,-0.8908036478321696
44.6187956914207,18.817220604563172,44.343813629504716,-0.2749820619159904,18.205386352228974,-0.611834252334198
44.7090578648872,19.136317068425324,43.6925030267151,-1.0165548381720957,18.075443068103052,-1.0608740003222705
44.7577744324458,19.01039702171065,43.665937141186056,-1.0918372912597396,18.33138764015471,-0.6790093815559395
44.87756675548514,18.871075114801354,44.07868876494998,-0.7988779905351628,18.17981640568973,-0.6912587091116223
44.75324589990797,19.14212273292617,44.74268668938647,-0.010559210521499107,18.07758185223085,-1.0645408806953194
45.05527751445812,19.07971309900069,44.29198067724718,-0.7632968372109417,18.26842093775539,-0.8112921612453
44.799251964136566,19.32990106695315,44.02296315877093,-0.776288805365638,18.12721381141495,-1.2026872555381956
45.05792449577187,19.357023988498597,43.89285228311077,-1.1650722126611002,17.999985100556085,-1.3570388879425104
44.67459365363544,19.062961509735686,44.25570528271487,-0.41888837092057263,18.097821928029802,-0.9651395817058872
44.771354687196826,19.0366396105722,44.54689181118651,-0.22446287601031178,18.226119076834916,-0.8105205337372856
45.1688345286067,19.024030688939582,44.1884664272229,-0.980368101383805,18.193911223827723,-0.8301194651118615
44.63543055260731,18.947334049006628,44.15045288876739,-0.48497766383991947,18.22138330951371,-0.7259507394929199
44.70987309588349,19.12882958270872,44.21233369003439,-0.49753940584909007,18.179715686129022,-0.9491138965796952
44.97480752290573,19.113505061584412,44.06561441108121,-0.9091931118245244,18.32051810668269,-0.7929869549017227
44.65522877198441,19.247996748956414,43.99782372918529,-0.6574050427991196,17.810545409092732,-1.4374513398636823
